1,GK,Ángel Bossio,(1905-05-05)5 May 1905 (aged 25),,Talleres,Argentina,Argentina,1930
1,GK,Juan Botasso,(1908-10-23)23 October 1908 (aged 21),,Quilmes,Argentina,Argentina,1930
9,FW,Roberto Cherro,(1907-02-23)23 February 1907 (aged 23),,Boca Juniors,Argentina,Argentina,1930
4,DF,Alberto Chividini,(1907-02-23)23 February 1907 (aged 23),,Central Norte Tucumán,Argentina,Argentina,1930
10,FW,Attilio Demaría,(1909-03-19)19 March 1909 (aged 21),,Estudiantil Porteño,Argentina,Argentina,1930
2,DF,José Della Torre,(1906-03-23)23 March 1906 (aged 24),,Racing,Argentina,Argentina,1930
04 & 6,DF,Juan Evaristo,(1902-06-20)20 June 1902 (aged 28),,Sportivo Barracas,Argentina,Argentina,1930
11,FW,Mario Evaristo,(1908-12-10)10 December 1908 (aged 21),,Boca Juniors,Argentina,Argentina,1930
10,FW,Manuel Ferreira (c),(1905-10-22)22 October 1905 (aged 24),,Estudiantes de La Plata,Argentina,Argentina,1930
5,MF,Luis Monti,(1901-05-15)15 May 1901 (aged 29),,San Lorenzo,Argentina,Argentina,1930
3,DF,Ramón Muttis,(1899-03-12)12 March 1899 (aged 31),,Boca Juniors,Argentina,Argentina,1930
6,DF,Rodolfo Orlandini,(1905-01-01)1 January 1905 (aged 25),,Estudiantil Porteño,Argentina,Argentina,1930
3,DF,Fernando Paternoster,(1903-05-24)24 May 1903 (aged 27),,Racing,Argentina,Argentina,1930
7,FW,Natalio Perinetti,(1900-12-28)28 December 1900 (aged 29),,Racing,Argentina,Argentina,1930
7,FW,Carlos Peucelle,(1908-09-13)13 September 1908 (aged 21),,Sportivo Buenos Aires,Argentina,Argentina,1930
-,DF,Edmundo Piaggio,(1910-10-03)3 October 1910 (aged 19),,Lanús,Argentina,Argentina,1930
8,FW,Alejandro Scopelli,(1908-05-12)12 May 1908 (aged 22),,Estudiantes de La Plata,Argentina,Argentina,1930
11,FW,Carlos Spadaro,(1902-02-05)5 February 1902 (aged 28),,Lanús,Argentina,Argentina,1930
9,FW,Guillermo Stábile,(1905-01-17)17 January 1905 (aged 25),,Huracán,Argentina,Argentina,1930
06 & 4,MF,Pedro Suárez,(1909-12-21)21 December 1909 (aged 20),,Boca Juniors,Argentina,Argentina,1930
8,FW,Francisco Varallo,(1910-02-05)5 February 1910 (aged 20),,Gimnasia y Esgrima La Plata,Argentina,Argentina,1930
5,DF,Adolfo Zumelzú,(1902-01-05)5 January 1902 (aged 28),,Estudiantil Porteño,Argentina,Argentina,1930
-,FW,Juan Aguilera,(1903-10-23)23 October 1903 (aged 26),,Audax Italiano,Chile,Chile,1930
-,FW,Guillermo Arellano,(1908-08-21)21 August 1908 (aged 21),,Colo-Colo,Chile,Chile,1930
-,DF,Ernesto Chaparro,(1901-01-04)4 January 1901 (aged 29),,Colo-Colo,Chile,Chile,1930
-,FW,Arturo Coddou,,,Arturo Fernández Vial,Chile,Chile,1930
-,GK,Roberto Cortés,(1905-02-02)2 February 1905 (aged 25),,Colo-Colo,Chile,Chile,1930
-,MF,Humberto Elgueta,,,Santiago Wanderers,Chile,Chile,1930
-,GK,Cesar Espinoza,,,Santiago Wanderers,Chile,Chile,1930
-,DF,Víctor Morales,(1905-05-10)10 May 1905 (aged 25),,Colo-Colo,Chile,Chile,1930
-,FW,Horacio Muñoz,,,Arturo Fernández Vial,Chile,Chile,1930
-,FW,Tomás Ojeda,(1910-04-20)20 April 1910 (aged 20),,Boca Juniors Antofagasta,Chile,Chile,1930
-,DF,Ulises Poirier,(1897-02-02)2 February 1897 (aged 33),,La Cruz Valparaiso,Chile,Chile,1930
-,DF,Guillermo Riveros,(1902-02-10)10 February 1902 (aged 28),,La Cruz Valparaiso,Chile,Chile,1930
-,MF,Guillermo Saavedra,(1903-11-05)5 November 1903 (aged 26),,Colo-Colo,Chile,Chile,1930
-,FW,Carlos Schneeberger,(1902-06-21)21 June 1902 (aged 28),,Colo-Colo,Chile,Chile,1930
-,FW,Guillermo Subiabre,(1902-02-25)25 February 1902 (aged 28),,Colo-Colo,Chile,Chile,1930
-,MF,Arturo Torres,(1906-10-20)20 October 1906 (aged 23),,Colo-Colo,Chile,Chile,1930
-,MF,Casimiro Torres,1906,,Everton,Chile,Chile,1930
-,FW,Carlos Vidal,(1902-02-24)24 February 1902 (aged 28),,Audax Italiano,Chile,Chile,1930
-,FW,Eberardo Villalobos,(1908-04-01)1 April 1908 (aged 22),,Rangers,Chile,Chile,1930
-,DF,Numa Andoire,(1908-03-19)19 March 1908 (aged 22),0,FC Antibes,France,France,1930
-,DF,Marcel Capelle,(1904-12-11)11 December 1904 (aged 25),4,Racing Club de France,France,France,1930
-,MF,Augustin Chantrel,(1906-11-11)11 November 1906 (aged 23),8,CASG Paris,France,France,1930
-,FW,Edmond Delfour,(1907-11-01)1 November 1907 (aged 22),6,Racing Club de France,France,France,1930
-,MF,Célestin Delmer,(1907-02-15)15 February 1907 (aged 23),2,Amiens AC,France,France,1930
-,FW,Marcel Langiller,(1908-06-02)2 June 1908 (aged 22),8,Excelsior AC Roubaix,France,France,1930
-,MF,Jean Laurent,(1906-12-30)30 December 1906 (aged 23),3,FC Sochaux,France,France,1930
-,FW,Lucien Laurent,(1907-12-10)10 December 1907 (aged 22),2,FC Sochaux,France,France,1930
-,FW,Ernest Libérati,(1906-03-22)22 March 1906 (aged 24),3,Amiens AC,France,France,1930
-,FW,André Maschinot,(1903-06-28)28 June 1903 (aged 27),3,FC Sochaux,France,France,1930
-,DF,Étienne Mattler,(1905-12-25)25 December 1905 (aged 24),1,FC Sochaux,France,France,1930
-,MF,Marcel Pinel,(1908-07-08)8 July 1908 (aged 22),3,Red Star Paris,France,France,1930
-,GK,André Tassin,(1902-02-23)23 February 1902 (aged 28),0,Racing Club de France,France,France,1930
-,GK,Alex Thépot,(1906-07-30)30 July 1906 (aged 23),12,Red Star Paris,France,France,1930
-,FW,Émile Veinante,(1907-06-12)12 June 1907 (aged 23),3,Racing Club de France,France,France,1930
-,MF,Alexandre Villaplane,(1905-09-12)12 September 1905 (aged 24),22,Racing Club de France,France,France,1930
-,MF,Efraín Amézcua,,,Atlante,Mexico,Mexico,1930
-,GK,Oscar Bonfiglio,(1905-10-05)5 October 1905 (aged 24),,Marte,Mexico,Mexico,1930
-,FW,Juan Carreño,(1907-08-14)14 August 1907 (aged 22),,Atlante,Mexico,Mexico,1930
-,FW,Jesús Castro,,,Deportivo Mexico,Mexico,Mexico,1930
-,DF,Rafael Garza Gutiérrez,(1896-12-13)13 December 1896 (aged 33),,América,Mexico,Mexico,1930
-,DF,Francisco Garza Gutiérrez,1904,,América,Mexico,Mexico,1930
-,FW,Roberto Gayón,1905,,América,Mexico,Mexico,1930
-,FW,Hilario López,(1907-11-18)18 November 1907 (aged 22),,Marte,Mexico,Mexico,1930
-,FW,Dionisio Mejía,(1907-01-06)6 January 1907 (aged 23),,Atlante,Mexico,Mexico,1930
-,FW,Felipe Olivares,1905,,Atlante,Mexico,Mexico,1930
-,FW,Luis Pérez,1907,,Necaxa,Mexico,Mexico,1930
-,MF,Raymundo Rodríguez,1905,,Marte,Mexico,Mexico,1930
-,MF,Felipe Rosas,(1910-02-05)5 February 1910 (aged 20),,Atlante,Mexico,Mexico,1930
-,DF,Manuel Rosas,(1912-04-17)17 April 1912 (aged 18),,Atlante,Mexico,Mexico,1930
-,FW,José Ruíz,1904,,Necaxa,Mexico,Mexico,1930
-,MF,Alfredo Sánchez,,,América,Mexico,Mexico,1930
-,GK,Isidoro Sota,(1902-02-04)4 February 1902 (aged 28),,América,Mexico,Mexico,1930
-,MF,Milorad Arsenijević,(1906-06-06)6 June 1906 (aged 24),16,SK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930
9,FW,Ivan Bek,(1909-10-29)29 October 1909 (aged 20),2,FC Sète,Yugoslavia,France,1930
-,MF,Momčilo Đokić,(1911-02-27)27 February 1911 (aged 19),2,Jugoslavija Beograd,Yugoslavia,Kingdom of Yugoslavia,1930
-,FW,Branislav Hrnjiček,(1908-06-05)5 June 1908 (aged 22),4,Jugoslavija Beograd,Yugoslavia,Kingdom of Yugoslavia,1930
5,DF,Milutin Ivković,(1906-03-03)3 March 1906 (aged 24),22,SK Soko,Yugoslavia,Kingdom of Yugoslavia,1930
1,GK,Milovan Jakšić,(1909-09-21)21 September 1909 (aged 20),2,SK Soko,Yugoslavia,Kingdom of Yugoslavia,1930
8,FW,Blagoje Marjanović,(1907-09-09)9 September 1907 (aged 22),15,SK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930
-,FW,Bozidar Marković,(1900-01-01)1 January 1900 (aged 30),0,Vojvodina Novi Sad,Yugoslavia,Kingdom of Yugoslavia,1930
-,DF,Dragoslav Mihajlović,(1906-12-13)13 December 1906 (aged 23),1,BSK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930
-,FW,Dragutin Najdanović,(1908-04-15)15 April 1908 (aged 22),3,BSK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930
-,FW,Branislav Sekulić,(1906-10-29)29 October 1906 (aged 23),3,SC Montpellier,Yugoslavia,France,1930
-,MF,Teofilo Spasojević,(1909-01-21)21 January 1909 (aged 21),1,Jugoslavija Beograd,Yugoslavia,Kingdom of Yugoslavia,1930
-,MF,Ljubiša Stefanović,(1910-01-04)4 January 1910 (aged 20),0,FC Sète,Yugoslavia,France,1930
-,GK,Milan Stojanović,(1911-12-28)28 December 1911 (aged 18),0,BSK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930
7,FW,Aleksandar Tirnanić,(1911-07-15)15 July 1911 (aged 18),5,BSK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930
-,DF,Dragomir Tošić,(1909-11-08)8 November 1909 (aged 20),0,BSK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930
-,FW,Đorđe Vujadinović,(1909-12-06)6 December 1909 (aged 20),4,BSK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930
-,FW,Araken,(1905-07-17)17 July 1905 (aged 24),,Flamengo,Brazil,Brazil,1930
-,FW,Benedicto,(1910-05-10)10 May 1910 (aged 20),,Botafogo,Brazil,Brazil,1930
-,DF,Brilhante,(1904-11-05)5 November 1904 (aged 25),,Vasco da Gama,Brazil,Brazil,1930
-,FW,Carvalho Leite,(1912-06-25)25 June 1912 (aged 18),,Botafogo,Brazil,Brazil,1930
-,MF,Fausto,(1905-01-28)28 January 1905 (aged 25),,Vasco da Gama,Brazil,Brazil,1930
-,MF,Fernando,(1906-03-01)1 March 1906 (aged 24),,Fluminense,Brazil,Brazil,1930
-,MF,Fortes,(1901-09-09)9 September 1901 (aged 28),,Fluminense,Brazil,Brazil,1930
-,MF,Hermógenes,(1908-11-04)4 November 1908 (aged 21),,America-RJ,Brazil,Brazil,1930
-,DF,Itália,(1907-05-22)22 May 1907 (aged 23),,Vasco da Gama,Brazil,Brazil,1930
-,MF,Ivan Mariz,(1910-05-16)16 May 1910 (aged 20),,Fluminense,Brazil,Brazil,1930
-,GK,Joel,(1904-05-01)1 May 1904 (aged 26),,América-RJ,Brazil,Brazil,1930
-,FW,Manoelzinho,(1907-08-22)22 August 1907 (aged 22),,Ypiranga Niterói,Brazil,Brazil,1930
-,FW,Moderato,(1902-07-14)14 July 1902 (aged 27),,Flamengo,Brazil,Brazil,1930
-,FW,Nilo,(1903-04-03)3 April 1903 (aged 27),,Botafogo,Brazil,Brazil,1930
-,DF,Oscarino,(1907-01-17)17 January 1907 (aged 23),,Ypiranga Niterói,Brazil,Brazil,1930
-,MF,Pamplona,(1904-03-24)24 March 1904 (aged 26),,Botafogo,Brazil,Brazil,1930
-,FW,Poly,(1909-01-26)26 January 1909 (aged 21),,Americano,Brazil,Brazil,1930
-,FW,Preguinho,(1905-02-08)8 February 1905 (aged 25),,Fluminense,Brazil,Brazil,1930
-,FW,Russinho,(1902-12-18)18 December 1902 (aged 27),,Vasco da Gama,Brazil,Brazil,1930
-,FW,Teóphilo,(1900-04-11)11 April 1900 (aged 30),,São Cristóvão,Brazil,Brazil,1930
-,GK,Velloso,(1908-09-25)25 September 1908 (aged 21),,Fluminense,Brazil,Brazil,1930
-,DF,Zé Luiz,(1904-11-16)16 November 1904 (aged 25),,São Cristóvão,Brazil,Brazil,1930
-,FW,Mario Alborta,1904,7,Club Bolívar,Bolivia,Bolivia,1930
-,MF,Juan Argote,1906,0,Club Bolívar,Bolivia,Bolivia,1930
-,GK,Jesús Bermúdez,1902,6,Oruro Royal,Bolivia,Bolivia,1930
-,MF,Miguel Brito,,0,Oruro Royal,Bolivia,Bolivia,1930
-,FW,José Bustamante,1907,7,Litoral,Bolivia,Bolivia,1930
-,DF,Casiano Chavarría,(1901-08-03)3 August 1901 (aged 28),6,Calavera La Paz,Bolivia,Bolivia,1930
-,DF,Segundo Durandal,(1912-03-17)17 March 1912 (aged 18),0,CS San Jose Oruro,Bolivia,Bolivia,1930
-,FW,René Fernández,1906,0,Alianza Oruro,Bolivia,Bolivia,1930
-,FW,Gumersindo Gómez,1907,0,Oruro Royal,Bolivia,Bolivia,1930
-,MF,Diógenes Lara,1902,7,Club Bolívar,Bolivia,Bolivia,1930
-,FW,Rafael Méndez,1904,7,Universitario La Paz,Bolivia,Bolivia,1930
-,GK,Miguel Murillo,,0,Club Bolívar,Bolivia,Bolivia,1930
-,MF,Constantino Noya,,0,Oruro Royal,Bolivia,Bolivia,1930
-,FW,Eduardo Reyes Ortíz,1907,0,The Strongest,Bolivia,Bolivia,1930
*,DF,Luis Reyes Peñaranda,,0,Universitario La Paz,Bolivia,Bolivia,1930
-,MF,Renato Sáinz,(1899-12-14)14 December 1899 (aged 30),,The Strongest,Bolivia,Bolivia,1930
-,MF,Jorge Valderrama,(1906-12-12)12 December 1906 (aged 23),5,Oruro Royal,Bolivia,Bolivia,1930
4,MF,José Andrade,(1901-11-22)22 November 1901 (aged 28),30,Nacional,Uruguay,Uruguay,1930
